399: Additional findings health related: id=399; version=0.114; signedoff=False; is_superpanel=False
484: DDG2P: id=484; version=2.69; signedoff=False; is_superpanel=False
251: Deafness and congenital structural abnormalities: id=251; version=1.19; signedoff=False; is_superpanel=False
293: Diabetes - neonatal onset: id=293; version=2.38; signedoff=False; is_superpanel=False
26: Diabetes with additional phenotypes suggestive of a monogenic aetiology: id=26; version=1.66; signedoff=False; is_superpanel=False
652: Dilated cardiomyopathy - adult and teen: id=652; version=1.26; signedoff=False; is_superpanel=False
47: Dilated Cardiomyopathy and conduction defects: id=47; version=1.77; signedoff=False; is_superpanel=False
9: Disorders of sex development: id=9; version=2.59; signedoff=False; is_superpanel=False
235: Distal myopathies: id=235; version=1.45; signedoff=False; is_superpanel=False
209: Ductal plate malformation: id=209; version=1.19; signedoff=False; is_superpanel=False
265: Early onset dementia (encompassing fronto-temporal dementia and prion disease): id=265; version=1.76; signedoff=False; is_superpanel=False
192: Early onset dystonia: id=192; version=1.113; signedoff=False; is_superpanel=False
553: Ectodermal dysplasia: id=553; version=1.37; signedoff=False; is_superpanel=False
136: Ectodermal dysplasia without a known gene mutation: id=136; version=1.22; signedoff=False; is_superpanel=False
53: Ehlers Danlos syndromes: id=53; version=2.64; signedoff=False; is_superpanel=False
648: Endocrine neoplasms: id=648; version=1.25; signedoff=False; is_superpanel=False
271: Endometrial cancer pertinent cancer susceptibility: id=271; version=1.0; signedoff=False; is_superpanel=False
562: Epidermodysplasia verruciformis: id=562; version=1.4; signedoff=False; is_superpanel=False
119: Epidermolysis bullosa: id=119; version=1.7; signedoff=False; is_superpanel=False
554: Epidermolysis bullosa and congenital skin fragility: id=554; version=1.50; signedoff=False; is_superpanel=False
91: Erythropoietic protoporphyria, mild variant: id=91; version=1.2; signedoff=False; is_superpanel=False
314: Extreme early-onset hypertension: id=314; version=1.15; signedoff=False; is_superpanel=False
158: Familial breast cancer: id=158; version=1.18; signedoff=False; is_superpanel=False
50: Familial cerebral small vessel disease: id=50; version=1.13; signedoff=False; is_superpanel=False
305: Familial cicatricial alopecia: id=305; version=1.3; signedoff=False; is_superpanel=False
152: Familial diabetes: id=152; version=1.66; signedoff=False; is_superpanel=False
110: Familial disseminated superficial actinic porokeratosis: id=110; version=1.2; signedoff=False; is_superpanel=False
7: Familial dysautonomia: id=7; version=1.17; signedoff=False; is_superpanel=False
23: Familial hidradenitis suppurativa: id=23; version=1.3; signedoff=False; is_superpanel=False
63: Familial Hirschsprung Disease: id=63; version=1.9; signedoff=False; is_superpanel=False
6: Familial hypercholesterolaemia: id=6; version=1.29; signedoff=False; is_superpanel=False
772: Familial hypercholesterolaemia - targeted panel: id=772; version=1.10; signedoff=False; is_superpanel=False
480: Familial hyperparathyroidism: id=480; version=2.22; signedoff=False; is_superpanel=False
312: Familial hypoparathyroidism: id=312; version=2.5; signedoff=False; is_superpanel=False
522: Familial melanoma: id=522; version=1.12; signedoff=False; is_superpanel=False
394: Familial Meniere Disease: id=394; version=1.3; signedoff=False; is_superpanel=False
11: Familial Neural Tube Defects: id=11; version=1.10; signedoff=False; is_superpanel=False
212: Familial non syndromic congenital heart disease: id=212; version=1.75; signedoff=False; is_superpanel=False
318: Familial prostate cancer: id=318; version=1.3; signedoff=False; is_superpanel=False
200: Familial pulmonary fibrosis: id=200; version=1.28; signedoff=False; is_superpanel=False
290: Familial rhabdomyosarcoma: id=290; version=1.4; signedoff=False; is_superpanel=False
552: Familial tumoral calcinosis: id=552; version=1.7; signedoff=False; is_superpanel=False
167: Familial Tumours Syndromes of the central & peripheral Nervous system: id=167; version=1.12; signedoff=False; is_superpanel=False
478: Fetal anomalies: id=478; version=1.849; signedoff=False; is_superpanel=False
144: Fetal hydrops: id=144; version=1.55; signedoff=False; is_superpanel=False
33: Gastrointestinal epithelial barrier disorders: id=33; version=1.72; signedoff=False; is_superpanel=False
61: Gastrointestinal neuromuscular disorders: id=61; version=1.21; signedoff=False; is_superpanel=False
132: Generalised pustular psoriasis: id=132; version=1.12; signedoff=False; is_superpanel=False
412: Gene therapy clinical trials: id=412; version=0.7; signedoff=False; is_superpanel=False
402: Genetic epilepsy syndromes: id=402; version=2.504; signedoff=False; is_superpanel=False
201: Genodermatoses with malignancies: id=201; version=1.6; signedoff=False; is_superpanel=False
227: Genomic imprinting: id=227; version=0.138; signedoff=False; is_superpanel=False
254: GI tract tumours: id=254; version=1.19; signedoff=False; is_superpanel=False
249: Glaucoma (developmental): id=249; version=1.41; signedoff=False; is_superpanel=False
528: Glycogen storage disease: id=528; version=1.7; signedoff=False; is_superpanel=False
720: Groopman et al 2019 - Genes with diagnostic variants: id=720; version=0.8; signedoff=False; is_superpanel=False
473: Growth failure in early childhood: id=473; version=1.103; signedoff=False; is_superpanel=False
59: Haematological malignancies cancer susceptibility: id=59; version=2.26; signedoff=False; is_superpanel=False
407: Haematological malignancies for rare disease: id=407; version=1.10; signedoff=False; is_superpanel=False
99: Haematuria: id=99; version=2.11; signedoff=False; is_superpanel=False
115: Head and neck cancer pertinent cancer susceptibility: id=115; version=1.0; signedoff=False; is_superpanel=False
126: Hearing loss: id=126; version=2.238; signedoff=False; is_superpanel=False
20: Hereditary ataxia: id=20; version=1.300; signedoff=False; is_superpanel=False
466: Hereditary ataxia - adult onset: id=466; version=2.154; signedoff=False; is_superpanel=False
488: Hereditary ataxia and cerebellar anomalies - childhood onset: id=488; version=6.407; signedoff=False; is_superpanel=True
157: Hereditary Erythrocytosis: id=157; version=1.44; signedoff=False; is_superpanel=False
123: Hereditary haemorrhagic telangiectasia: id=123; version=2.15; signedoff=False; is_superpanel=False
85: Hereditary neuropathy: id=85; version=1.446; signedoff=False; is_superpanel=False
846: Hereditary neuropathy NOT PMP22 copy number: id=846; version=1.92; signedoff=False; is_superpanel=False
165: Hereditary spastic paraplegia: id=165; version=1.289; signedoff=False; is_superpanel=False
567: Hereditary spastic paraplegia - adult onset: id=567; version=1.95; signedoff=False; is_superpanel=False
568: Hereditary spastic paraplegia - childhood onset: id=568; version=2.131; signedoff=False; is_superpanel=False
78: Holoprosencephaly: id=78; version=2.27; signedoff=False; is_superpanel=False
310: Hydroa vacciniforme: id=310; version=1.2; signedoff=False; is_superpanel=False
179: Hydrocephalus: id=179; version=2.127; signedoff=False; is_superpanel=False
267: Hyperammonaemia: id=267; version=1.13; signedoff=False; is_superpanel=False
236: Hyperthyroidism: id=236; version=2.13; signedoff=False; is_superpanel=False
49: Hypertrophic cardiomyopathy - teen and adult: id=49; version=2.38; signedoff=False; is_superpanel=False
481: Hypocalciuric hypercalcaemia: id=481; version=2.9; signedoff=False; is_superpanel=False
92: Hypogonadotropic hypogonadism: id=92; version=1.34; signedoff=False; is_superpanel=False
650: Hypogonadotropic hypogonadism idiopathic: id=650; version=1.50; signedoff=False; is_superpanel=False
482: Hypophosphataemia or rickets: id=482; version=2.16; signedoff=False; is_superpanel=False
490: Hypotonic infant: id=490; version=9.2189; signedoff=False; is_superpanel=True
555: Ichthyosis and erythrokeratoderma: id=555; version=1.72; signedoff=False; is_superpanel=False
277: Idiopathic ventricular fibrillation: id=277; version=1.1; signedoff=False; is_superpanel=False
467: Inborn errors of metabolism: id=467; version=2.240; signedoff=False; is_superpanel=False
176: Infantile enterocolitis & monogenic inflammatory bowel disease: id=176; version=1.38; signedoff=False; is_superpanel=False
246: Infantile nystagmus: id=246; version=1.4; signedoff=False; is_superpanel=False
175: Inherited bleeding disorders: id=175; version=1.166; signedoff=False; is_superpanel=False
503: Inherited MMR deficiency (Lynch syndrome): id=503; version=1.9; signedoff=False; is_superpanel=False
171: Inherited non-medullary thyroid cancer: id=171; version=1.5; signedoff=False; is_superpanel=False
143: Inherited ovarian cancer (without breast cancer): id=143; version=2.25; signedoff=False; is_superpanel=False
524: Inherited pancreatic cancer: id=524; version=1.20; signedoff=False; is_superpanel=False
97: Inherited phaeochromocytoma and paraganglioma: id=97; version=1.9; signedoff=False; is_superpanel=False
649: Inherited phaeochromocytoma and paraganglioma excluding NF1: id=649; version=1.23; signedoff=False; is_superpanel=False
504: Inherited polyposis: id=504; version=1.30; signedoff=False; is_superpanel=False
525: Inherited predisposition to acute myeloid leukaemia (AML): id=525; version=1.21; signedoff=False; is_superpanel=False
523: Inherited predisposition to GIST: id=523; version=1.11; signedoff=False; is_superpanel=False
521: Inherited renal cancer: id=521; version=1.21; signedoff=False; is_superpanel=False
42: Inherited white matter disorders: id=42; version=1.157; signedoff=False; is_superpanel=False
174: Insulin resistance (including lipodystrophy): id=174; version=1.15; signedoff=False; is_superpanel=False
285: Intellectual disability: id=285; version=3.1538; signedoff=False; is_superpanel=False
514: Intestinal failure: id=514; version=1.48; signedoff=False; is_superpanel=False
315: Intracerebral calcification disorders: id=315; version=1.34; signedoff=False; is_superpanel=False
515: Iron metabolism disorders: id=515; version=1.33; signedoff=False; is_superpanel=False
131: IUGR and IGF abnormalities: id=131; version=1.51; signedoff=False; is_superpanel=False
239: Juvenile dermatomyositis: id=239; version=1.3; signedoff=False; is_superpanel=False
173: Kabuki syndrome: id=173; version=1.5; signedoff=False; is_superpanel=False
248: Ketotic hypoglycaemia: id=248; version=1.5; signedoff=False; is_superpanel=False
213: Kleine-Levin syndrome: id=213; version=1.7; signedoff=False; is_superpanel=False
549: Laterality disorders and isomerism: id=549; version=1.47; signedoff=False; is_superpanel=False
530: Leber hereditary optic neuropathy: id=530; version=1.11; signedoff=False; is_superpanel=False
238: Left Ventricular Noncompaction Cardiomyopathy: id=238; version=1.4; signedoff=False; is_superpanel=False
384: Limb disorders: id=384; version=2.77; signedoff=False; is_superpanel=False
185: Limb girdle muscular dystrophy: id=185; version=2.37; signedoff=False; is_superpanel=False
546: Lipodystrophy - childhood onset: id=546; version=2.23; signedoff=False; is_superpanel=False
527: Lipoprotein lipase deficiency: id=527; version=1.21; signedoff=False; is_superpanel=False
76: Long QT syndrome: id=76; version=2.31; signedoff=False; is_superpanel=False
218: Lung cancer pertinent cancer susceptibility: id=218; version=1.1; signedoff=False; is_superpanel=False
529: Lysosomal storage disorder: id=529; version=1.78; signedoff=False; is_superpanel=False
96: Malformations of cortical development: id=96; version=2.141; signedoff=False; is_superpanel=False
133: Melanoma pertinent cancer susceptibility: id=133; version=1.0; signedoff=False; is_superpanel=False
83: Membranoproliferative glomerulonephritis: id=83; version=2.22; signedoff=False; is_superpanel=False
112: Mitochondrial disorders: id=112; version=2.97; signedoff=False; is_superpanel=False
534: Mitochondrial disorder with complex I deficiency: id=534; version=1.15; signedoff=False; is_superpanel=False
535: Mitochondrial disorder with complex II deficiency: id=535; version=1.3; signedoff=False; is_superpanel=False
536: Mitochondrial disorder with complex III deficiency: id=536; version=1.3; signedoff=False; is_superpanel=False
537: Mitochondrial disorder with complex IV deficiency: id=537; version=1.13; signedoff=False; is_superpanel=False
538: Mitochondrial disorder with complex V deficiency: id=538; version=1.3; signedoff=False; is_superpanel=False
533: Mitochondrial DNA maintenance disorder: id=533; version=1.6; signedoff=False; is_superpanel=False
532: Mitochondrial liver disease: id=532; version=1.4; signedoff=False; is_superpanel=False
472: Monogenic diabetes: id=472; version=2.47; signedoff=False; is_superpanel=False
18: Monogenic nephrogenic diabetes insipidus: id=18; version=1.8; signedoff=False; is_superpanel=False
564: Mosaic skin disorders - deep sequencing: id=564; version=1.22; signedoff=False; is_superpanel=False
75: Mucopolysaccharideosis, Gaucher, Fabry: id=75; version=1.2; signedoff=False; is_superpanel=False
87: Multi-organ autoimmune diabetes: id=87; version=1.8; signedoff=False; is_superpanel=False
36: Multiple endocrine tumours: id=36; version=1.13; signedoff=False; is_superpanel=False
211: Multiple Epiphyseal Dysplasia: id=211; version=1.6; signedoff=False; is_superpanel=False
19: Multiple lipomas: id=19; version=1.1; signedoff=False; is_superpanel=False
558: Multiple monogenic benign skin tumours: id=558; version=1.20; signedoff=False; is_superpanel=False
385: Neonatal cholestasis: id=385; version=1.24; signedoff=False; is_superpanel=False
149: Nephrocalcinosis or nephrolithiasis: id=149; version=2.32; signedoff=False; is_superpanel=False
474: Neurodegenerative disorders - adult onset: id=474; version=2.269; signedoff=False; is_superpanel=False
183: Neuroendocrine cancer pertinent cancer susceptibility: id=183; version=1.2; signedoff=False; is_superpanel=False
255: Neurofibromatosis Type 1: id=255; version=1.29; signedoff=False; is_superpanel=False
724: Neurological ciliopathies: id=724; version=1.31; signedoff=False; is_superpanel=False
736: Neurological segmental overgrowth: id=736; version=1.15; signedoff=False; is_superpanel=False
465: Neuromuscular disorders: id=465; version=5.329; signedoff=False; is_superpanel=True
526: Neuronal ceroid lipofuscinosis: id=526; version=1.23; signedoff=False; is_superpanel=False
219: Neurotransmitter disorders: id=219; version=1.9; signedoff=False; is_superpanel=False
513: Non-acute porphyrias: id=513; version=1.21; signedoff=False; is_superpanel=False
296: Non-CF bronchiectasis: id=296; version=1.27; signedoff=False; is_superpanel=False
253: Non-syndromic familial congenital anorectal malformations: id=253; version=1.8; signedoff=False; is_superpanel=False
189: Non-syndromic hypotrichosis: id=189; version=1.11; signedoff=False; is_superpanel=False
128: Ocular and oculo-cutaneous albinism: id=128; version=1.21; signedoff=False; is_superpanel=False
294: Ocular coloboma: id=294; version=1.46; signedoff=False; is_superpanel=False
722: Ophthalmological ciliopathies: id=722; version=1.30; signedoff=False; is_superpanel=False
186: Optic neuropathy: id=186; version=2.60; signedoff=False; is_superpanel=False
196: Osteogenesis imperfecta: id=196; version=2.45; signedoff=False; is_superpanel=False
943: Osteopetrosis: id=943; version=1.27; signedoff=False; is_superpanel=False
117: Ovarian cancer pertinent cancer susceptibility: id=117; version=1.9; signedoff=False; is_superpanel=False
486: Paediatric disorders: id=486; version=14.2558; signedoff=False; is_superpanel=True
479: Paediatric disorders - additional genes: id=479; version=1.96; signedoff=False; is_superpanel=False
79: Paediatric motor neuronopathies: id=79; version=1.77; signedoff=False; is_superpanel=False
288: Pain syndromes: id=288; version=1.12; signedoff=False; is_superpanel=False
215: Palmoplantar keratoderma and erythrokeratodermas: id=215; version=1.24; signedoff=False; is_superpanel=False
556: Palmoplantar keratodermas: id=556; version=1.13; signedoff=False; is_superpanel=False
386: Pancreatitis: id=386; version=2.16; signedoff=False; is_superpanel=False
86: Parathyroid Cancer: id=86; version=1.4; signedoff=False; is_superpanel=False
39: Parkinson Disease and Complex Parkinsonism: id=39; version=1.105; signedoff=False; is_superpanel=False
541: Paroxysmal central nervous system disorders: id=541; version=1.44; signedoff=False; is_superpanel=False
24: Peeling skin syndrome: id=24; version=1.4; signedoff=False; is_superpanel=False
60: Periodic fever syndromes: id=60; version=1.29; signedoff=False; is_superpanel=False
114: Peroxisomal disorders: id=114; version=1.19; signedoff=False; is_superpanel=False
94: PHACE(S) syndrome: id=94; version=1.3; signedoff=False; is_superpanel=False
559: Pigmentary skin disorders: id=559; version=1.50; signedoff=False; is_superpanel=False
483: Pituitary hormone deficiency: id=483; version=2.12; signedoff=False; is_superpanel=False
311: Pityriasis rubra pilaris: id=311; version=1.2; signedoff=False; is_superpanel=False
105: Pneumothorax - familial: id=105; version=2.37; signedoff=False; is_superpanel=False
653: Polycystic liver disease interim: id=653; version=1.23; signedoff=False; is_superpanel=False
539: Possible mitochondrial disorder - nuclear genes: id=539; version=1.72; signedoff=False; is_superpanel=False
178: Primary ciliary disorders: id=178; version=1.40; signedoff=False; is_superpanel=False
398: Primary immunodeficiency: id=398; version=2.542; signedoff=False; is_superpanel=False
65: Primary lymphoedema: id=65; version=2.25; signedoff=False; is_superpanel=False
155: Primary ovarian insufficiency: id=155; version=1.67; signedoff=False; is_superpanel=False
566: Primary pigmented nodular adrenocortical disease: id=566; version=1.7; signedoff=False; is_superpanel=False
506: Progressive cardiac conduction disease: id=506; version=1.37; signedoff=False; is_superpanel=False
17: Prostate cancer pertinent cancer susceptibility: id=17; version=1.2; signedoff=False; is_superpanel=False
106: Proteinuric renal disease: id=106; version=2.75; signedoff=False; is_superpanel=False
193: Pulmonary arterial hypertension: id=193; version=2.18; signedoff=False; is_superpanel=False
531: Pyruvate dehydrogenase (PDH) deficiency: id=531; version=1.31; signedoff=False; is_superpanel=False
247: Radial dysplasia: id=247; version=1.18; signedoff=False; is_superpanel=False
518: Rare anaemia: id=518; version=1.38; signedoff=False; is_superpanel=False
565: Rare genetic inflammatory skin disorders: id=565; version=1.54; signedoff=False; is_superpanel=False
150: Rare multisystem ciliopathy disorders: id=150; version=1.160; signedoff=False; is_superpanel=False
728: Rare multisystem ciliopathy Super panel: id=728; version=4.150; signedoff=False; is_superpanel=True
48: RASopathies: id=48; version=1.78; signedoff=False; is_superpanel=False
8: Refuted genes: id=8; version=0.13; signedoff=False; is_superpanel=False
154: Renal cancer pertinent cancer susceptibility: id=154; version=1.1; signedoff=False; is_superpanel=False
725: Renal ciliopathies: id=725; version=1.63; signedoff=False; is_superpanel=False
902: Renal superpanel - broad: id=902; version=2.514; signedoff=False; is_superpanel=True
903: Renal superpanel - narrow: id=903; version=2.440; signedoff=False; is_superpanel=True
292: Renal tubulopathies: id=292; version=2.40; signedoff=False; is_superpanel=False
550: Respiratory ciliopathies including non-CF bronchiectasis: id=550; version=1.56; signedoff=False; is_superpanel=False
307: Retinal disorders: id=307; version=2.251; signedoff=False; is_superpanel=False
600: Rhabdoid tumour predisposition: id=600; version=1.6; signedoff=False; is_superpanel=False
66: Rhabdomyolysis and metabolic muscle disorders: id=66; version=1.78; signedoff=False; is_superpanel=False
217: Sarcoma cancer susceptibility: id=217; version=1.21; signedoff=False; is_superpanel=False
734: Sarcoma susceptibility: id=734; version=1.69; signedoff=False; is_superpanel=False
98: Segmental overgrowth disorders: id=98; version=2.16; signedoff=False; is_superpanel=False
130: Severe early-onset obesity: id=130; version=2.49; signedoff=False; is_superpanel=False
262: Severe familial anorexia: id=262; version=1.3; signedoff=False; is_superpanel=False
228: Severe hypertriglyceridaemia: id=228; version=1.16; signedoff=False; is_superpanel=False
162: Severe microcephaly: id=162; version=2.296; signedoff=False; is_superpanel=False
62: Severe multi-system atopic disease with high IgE: id=62; version=1.8; signedoff=False; is_superpanel=False
921: Severe Paediatric Disorders: id=921; version=1.119; signedoff=False; is_superpanel=False
224: Short QT syndrome: id=224; version=2.12; signedoff=False; is_superpanel=False
199: Silver Russell syndrome: id=199; version=1.11; signedoff=False; is_superpanel=False
726: Skeletal ciliopathies: id=726; version=1.17; signedoff=False; is_superpanel=False
309: Skeletal dysplasia: id=309; version=2.190; signedoff=False; is_superpanel=False
229: Skeletal Muscle Channelopathies: id=229; version=1.45; signedoff=False; is_superpanel=False
542: Skeletal muscle channelopathy: id=542; version=1.39; signedoff=False; is_superpanel=False
3: Stickler syndrome: id=3; version=2.26; signedoff=False; is_superpanel=False
180: Structural basal ganglia disorders: id=180; version=1.30; signedoff=False; is_superpanel=False
509: Structural eye disease: id=509; version=1.117; signedoff=False; is_superpanel=False
841: Sudden cardiac death: id=841; version=9.221; signedoff=False; is_superpanel=True
45: Sudden death in young people: id=45; version=1.15; signedoff=False; is_superpanel=False
551: Surfactant deficiency: id=551; version=1.9; signedoff=False; is_superpanel=False
82: Testicular cancer pertinent cancer susceptibility: id=82; version=1.1; signedoff=False; is_superpanel=False
700: Thoracic aortic aneurysm and dissection: id=700; version=1.23; signedoff=False; is_superpanel=False
1: Thoracic aortic aneurysm or dissection: id=1; version=1.123; signedoff=False; is_superpanel=False
122: Thoracic dystrophies: id=122; version=1.18; signedoff=False; is_superpanel=False
945: Thrombocythaemia: id=945; version=1.2; signedoff=False; is_superpanel=False
516: Thrombophilia: id=516; version=1.22; signedoff=False; is_superpanel=False
421: Thyroid cancer pertinent cancer susceptibility: id=421; version=1.3; signedoff=False; is_superpanel=False
548: Tubulointerstitial kidney disease: id=548; version=1.19; signedoff=False; is_superpanel=False
243: Tumour predisposition - childhood onset: id=243; version=2.31; signedoff=False; is_superpanel=False
195: Ultra-rare undescribed monogenic disorders: id=195; version=1.2; signedoff=False; is_superpanel=False
302: Undiagnosed metabolic disorders: id=302; version=1.522; signedoff=False; is_superpanel=False
216: Undiagnosed monogenic disorder seen in a specialist genetics clinic: id=216; version=1.0; signedoff=False; is_superpanel=False
156: Unexplained kidney failure in young people: id=156; version=1.106; signedoff=False; is_superpanel=False
678: Unexplained paediatric onset end-stage renal disease: id=678; version=1.34; signedoff=False; is_superpanel=False
273: Upper gastrointestinal cancer pertinent cancer susceptibility: id=273; version=1.0; signedoff=False; is_superpanel=False
101: VACTERL-like phenotypes: id=101; version=1.32; signedoff=False; is_superpanel=False
563: Vascular skin disorders: id=563; version=1.49; signedoff=False; is_superpanel=False
222: Vici Syndrome and other autophagy disorders: id=222; version=1.2; signedoff=False; is_superpanel=False
928: Viral resistance: id=928; version=0.63; signedoff=False; is_superpanel=False
579: White matter disorders - adult onset: id=579; version=1.40; signedoff=False; is_superpanel=False
476: White matter disorders and cerebral calcification - narrow panel: id=476; version=1.233; signedoff=False; is_superpanel=False
496: White matter disorders - childhood onset: id=496; version=6.2234; signedoff=False; is_superpanel=True
77: Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome: id=77; version=2.25; signedoff=False; is_superpanel=False
